rank,school,conf,astcoach,schoolpay,totalpay,maxbonus,stafftotal,buyout,category,complete,proportion
974,Penn State,Big Ten,Terry Smith,,,,,nan,Power Five,yes,
975,Miami (Fla.),ACC,Manny Diaz,,,,,nan,Power Five,yes,
976,Miami (Fla.),ACC,Craig Kuligowski,,,,,nan,Power Five,yes,
977,Miami (Fla.),ACC,Stacy Searels,,,,,nan,Power Five,yes,
978,Miami (Fla.),ACC,Ron Dugans,,,,,nan,Power Five,yes,
979,Miami (Fla.),ACC,Todd Hartley,,,,,nan,Power Five,yes,
980,Northwestern,Big Ten,Randy Bates,,,,,nan,Power Five,yes,
981,Northwestern,Big Ten,Jerry Brown,,,,,nan,Power Five,yes,
982,Northwestern,Big Ten,Adam Cushing,,,,,nan,Power Five,yes,
983,Northwestern,Big Ten,Mike Hankwitz,,,,,nan,Power Five,yes,
984,Northwestern,Big Ten,Bob Heffner,,,,,nan,Power Five,yes,
985,Miami (Fla.),ACC,Thomas Brown,,,,,nan,Power Five,yes,
986,Miami (Fla.),ACC,Ephraim Banda,,,,,nan,Power Five,yes,
987,Miami (Fla.),ACC,Jon Richt,,,,,nan,Power Five,yes,
988,Miami (Fla.),ACC,Mike Rumph,,,,,nan,Power Five,yes,
989,Hawaii,Mt. West,Mayur Chaudhari,,,,,nan,Others,yes,
990,Hawaii,Mt. West,Chris Naeole,,,,,nan,Others,yes,
991,Hawaii,Mt. West,Abe Elimimian,,,,,nan,Others,yes,
992,Hawaii,Mt. West,Sean Duggan,,,,,nan,Others,yes,
993,Hawaii,Mt. West,Kefense Hynson,,,,,nan,Others,yes,
994,Hawaii,Mt. West,Craig Stutzmann,,,,,nan,Others,yes,
995,Hawaii,Mt. West,Legi Suiaunoa,,,,,nan,Others,yes,
996,Hawaii,Mt. West,Jacob Yoro,,,,,nan,Others,yes,
997,Boston College,ACC,Scot Loeffler,,,,,nan,Power Five,yes,
998,Boston College,ACC,Brian White,,,,,nan,Power Five,yes,
999,Boston College,ACC,Paul Pasqualoni,,,,,nan,Power Five,yes,
1000,Air Force,Mt. West,Tim Cross,,,,,nan,Others,yes,
1001,Air Force,Mt. West,Steed Lobotzke,,,,,nan,Others,yes,
1002,Southern California,Pac-12,Kenechi Udeze,,,,,nan,Power Five,yes,
1003,Boston College,ACC,Jim Reid,,,,,nan,Power Five,yes,
1004,Boston College,ACC,Justin Frye,,,,,nan,Power Five,yes,
1005,Boston College,ACC,Frank Leonard,,,,,nan,Power Five,yes,
1006,Boston College,ACC,Anthony Campanile,,,,,nan,Power Five,yes,
1007,Boston College,ACC,Rich Gunnell,,,,,nan,Power Five,yes,
1008,Boston College,ACC,Ricky Brown,,,,,nan,Power Five,yes,
1009,Penn State,Big Ten,Tim Banks,,,,,nan,Power Five,yes,
1010,Notre Dame,Ind.,Harry Hiestand,,,,,nan,Others,yes,
1011,Notre Dame,Ind.,Clark Lea,,,,,nan,Others,yes,
1012,Notre Dame,Ind.,Chip Long,,,,,nan,Others,yes,
1013,Notre Dame,Ind.,Autry Denson,,,,,nan,Others,yes,
1014,Notre Dame,Ind.,Todd Lyght,,,,,nan,Others,yes,
1015,Stanford,Pac-12,Ron Gould,,,,,nan,Power Five,yes,
1016,Stanford,Pac-12,Mike Bloomgren,,,,,nan,Power Five,yes,
