rank,school,conf,headcoach,schoolpay,otherpay,totalpay,maxbonus,bonusespaid,stafftotal,category
1,Alabama,SEC,Nick Saban,6932395.0,155086.0,7087481.0,700000.0,425000.0,5227090.0,Power Five
2,Michigan,Big Ten,Jim Harbaugh,7004000.0,,7004000.0,1175000.0,,4248667.0,Power Five
3,Ohio State,Big Ten,Urban Meyer,5860000.0,0.0,5860000.0,775000.0,400000.0,4021950.0,Power Five
4,Oklahoma,Big 12,Bob Stoops,5400000.0,0.0,5400000.0,834000.0,75000.0,3768500.0,Power Five
5,Florida State,ACC,Jimbo Fisher,5150000.0,0.0,5150000.0,1475000.0,500000.0,4284800.0,Power Five
6,Texas,Big 12,Charlie Strong,5100000.0,270.0,5100270.0,1003000.0,25000.0,3906100.0,Power Five
7,Texas A&M,SEC,Kevin Sumlin,5000000.0,0.0,5000000.0,1350000.0,50000.0,4419360.0,Power Five
8,Penn State,Big Ten,James Franklin,4400000.0,,4400000.0,1000000.0,200000.0,,Power Five
9,LSU,SEC,Les Miles,4300000.0,88721.0,4388721.0,700000.0,100000.0,5471236.0,Power Five
10,Mississippi,SEC,Hugh Freeze,4300000.0,10000.0,4310000.0,975000.0,125000.0,3091000.0,Power Five
11,Baylor,Big 12,Art Briles,4236073.0,2500.0,4238573.0,,,981540.0,Power Five
