rank,school,conf,asscoach,schoolpay,otherpay,totalpay,maxbonus,stafftotal,category
880,Utah State,Mt. West,Kendrick Shaver,75000.0,1800.0,76800.0,6250.0,1162973.0,Others
881,Ball State,MAC,Patrick Dougherty,76000.0,650.0,76650.0,0.0,910300.0,Others
882,Eastern Michigan,MAC,Jay Peterson,76500.0,0.0,76500.0,0.0,864676.0,Others
883,Florida Atlantic,C-USA,Corey Bell,72000.0,4100.0,76100.0,0.0,846050.0,Others
884,Utah State,Mt. West,Ikaika Malloe,75000.0,1000.0,76000.0,6250.0,1162973.0,Others
885,Eastern Michigan,MAC,Daniel Bullocks,76000.0,0.0,76000.0,0.0,864676.0,Others
886,Utah State,Mt. West,Jovon Bouknight,75000.0,1000.0,76000.0,6250.0,1162973.0,Others
887,San Jose State,Mt. West,Andrew Rolin,74976.0,500.0,75476.0,3000.0,1073832.0,Others
888,Texas-San Antonio,C-USA,Eric Roark,74580.0,650.0,75230.0,2000.0,808681.0,Others
889,Florida Atlantic,C-USA,Ben Strickland,75000.0,0.0,75000.0,0.0,846050.0,Others
890,Buffalo,MAC,Daryl Agpalsa,75000.0,,75000.0,0.0,928540.0,Others
891,New Mexico State,Sun Belt,Oliver Soukup,75000.0,,75000.0,0.0,646883.0,Others
892,Ohio,MAC,Anthony Perkins,75000.0,0.0,75000.0,0.0,898290.0,Others
893,Appalachian State,Sun Belt,Mark Ivey,75000.0,,75000.0,17000.0,936500.0,Others
894,Western Kentucky,C-USA,JaMarcus Shephard,72000.0,2000.0,74000.0,50000.0,1054792.0,Others
895,Wyoming,Mt. West,John Richardson,70008.0,3275.0,73283.0,5834.0,1224315.0,Others
896,Texas-San Antonio,C-USA,Charles Reeve,72407.0,850.0,73257.0,2000.0,808681.0,Others
897,Air Force,Mt. West,Jacob Campbell,73000.0,0.0,73000.0,21900.0,1518000.0,Others
898,Idaho,Sun Belt,Bryce Erickson,72842.0,,72842.0,0.0,747637.0,Others
899,Toledo,MAC,Bryan Gasser,71910.0,450.0,72360.0,0.0,886297.0,Others
900,Texas-San Antonio,C-USA,Jeff Popovich,71070.0,850.0,71920.0,2000.0,808681.0,Others
901,Akron,MAC,Trent Boykin,71400.0,0.0,71400.0,17456.0,934220.0,Others
902,Texas-San Antonio,C-USA,Tony Jeffery,71070.0,,71070.0,2000.0,808681.0,Others
903,Miami (Ohio),MAC,Pat Welsh,71000.0,0.0,71000.0,0.0,863310.0,Others
904,San Jose State,Mt. West,Joe Staab,70968.0,0.0,70968.0,3000.0,1073832.0,Others
905,North Texas,C-USA,LaMarcus Hicks,70800.0,0.0,70800.0,5833.0,1158150.0,Others
906,Idaho,Sun Belt,Aric Williams,70034.0,,70034.0,0.0,747637.0,Others
907,Georgia Southern,Sun Belt,Michael Mutz,70000.0,0.0,70000.0,14500.0,930450.0,Others
908,Southern Mississippi,C-USA,John Simon,70000.0,0.0,70000.0,5833.0,1055000.0,Others
909,Louisiana-Lafayette,Sun Belt,Melvin Smith,70000.0,,70000.0,0.0,1040000.0,Others
910,Texas-El Paso,C-USA,Weston Glaser,70000.0,,70000.0,39167.0,1191241.0,Others
911,Texas-San Antonio,C-USA,Polo Gutierrez,69010.0,850.0,69860.0,2000.0,808681.0,Others
912,Kent State,MAC,Dave McMichael,69728.0,0.0,69728.0,0.0,718436.0,Others
913,New Mexico State,Sun Belt,R. Todd Littlejohn,68332.0,800.0,69132.0,0.0,646883.0,Others
914,Florida Atlantic,C-USA,Jared Allen,62500.0,5500.0,68000.0,0.0,846050.0,Others
915,Wyoming,Mt. West,Gordie Haug,60000.0,6200.0,66200.0,5000.0,1224315.0,Others
916,Miami (Ohio),MAC,Israel Woolfork,66000.0,,66000.0,0.0,863310.0,Others
917,Idaho,Sun Belt,Al Pupunu,65936.0,,65936.0,0.0,747637.0,Others
918,Idaho,Sun Belt,Charley Molnar,65728.0,,65728.0,0.0,747637.0,Others
919,New Mexico State,Sun Belt,Kerry Locklin,65650.0,0.0,65650.0,0.0,646883.0,Others
920,Akron,MAC,Eric Hickson,65000.0,0.0,65000.0,16389.0,934220.0,Others
921,Louisiana-Monroe,Sun Belt,Mario Price,65000.0,0.0,65000.0,3500.0,683050.0,Others
922,Massachusetts,MAC,Charles Walker,64101.0,0.0,64101.0,11458.0,832930.0,Others
923,New Mexico State,Sun Belt,Brian Bell,64000.0,,64000.0,0.0,646883.0,Others
924,Georgia State,Sun Belt,Eric Lewis,62600.0,1000.0,63600.0,0.0,950700.0,Others
925,New Mexico State,Sun Belt,Kevin McKeethan,60801.0,1500.0,62301.0,0.0,646883.0,Others
926,Texas State,Sun Belt,Jason Johnson,60000.0,2100.0,62100.0,0.0,832300.0,Others
927,Idaho,Sun Belt,Kenny Holmes,61277.0,,61277.0,0.0,747637.0,Others
928,Middle Tennessee,C-USA,Mike Polly,57804.0,3000.0,60804.0,7226.0,1166061.0,Others
929,Kent State,MAC,Ben Needham,60426.0,0.0,60426.0,0.0,718436.0,Others
930,Kent State,MAC,Hank Poteat,60000.0,0.0,60000.0,0.0,718436.0,Others
931,Bowling Green,MAC,Mike Mickens,60000.0,0.0,60000.0,7000.0,807112.0,Others
